"ac.ha","name","geo","sero","year","ac.na"
"CY080507","turkey_Wisconsin_1_1968","USA","H5N9","1968.443","CY080509"
"CY005918","mallard_duck_ALB_57_1976","Canada","H5N2","1976.612","CY004319"
"CY014580","mallard_duck_Alberta_645_1980","Canada","H5N2","1980.639","CY004969"
"CY014722","duck_Minnesota_1516_1981","USA","H5N2","1981.773","CY005897"
"CY014849","mallard_New_York_189_1982","USA","H5N2","1982.915","CY014851"
"EU871820","turkey_Ontario_84_1983","Canada","H5N1","1983.038","EU871822"
"CY014640","duck_New_Zealand_41_1984","New_Zealand","H5N2","1984.107","CY014641"
"CY011248","wigeon_Ohio_379_1988","USA","H5N2","1988.787","CY011250"
"CY005926","herring_gull_NJ_402_1989","USA","H5N3","1989.307","CY004393"
"KF435066","finch_England_2051_1991","USA","H5N2","1991.140","KF435064"
"GQ227551","duck_Altai_1285_1991","Russia","H5N3","1991.619","GQ227552"
"EPI29260","ostrich_Denmark_96_72420_1996","Denmark","H5N2","1996.270","EPI29260"
"CY014717","chicken_Chis_15224_1997","Mexico","H5N2","1997.195","CY005840"
"CY015115","chicken_Italy_312_1997","Italy","H5N2","1997.786","CY015117"
"FJ750571","chicken_Belgium_150VB_1999","Belgium","H5N2","1999.490","FJ750569"
"CY064942","mallard_Netherlands_3_1999","Netherlands","H5N2","1999.770","CY064944"
"GQ162786","duck_Primorie_2621_2001","Russia","H5N2","2001.644","GQ162788"
"GQ227604","duck_Primorie_2633_2001","Russia","H5N3","2001.644","GQ227605"
"JF772148","quail_Guangxi_11_2002","China","H5N1","2002.534","JF772150"
"JF772156","quail_Guangxi_12_2002","China","H5N1","2002.534","JF772158"
"JF772164","quail_Guangxi_13_2002","China","H5N1","2002.534","JF772166"
"CY016611","mallard_Maryland_789_2002","USA","H5N2","2002.652","GU053499"
"KF695303","mallard_Sweden_7_2002","Sweden","H5N2","2002.814","GU052566"
"KF695328","mallard_Sweden_49_2002","Sweden","H5N9","2002.868","GU052870"
"AB535131","whistling_swan_Shimane_580_2002","Japan","H5N3","2002.932","AB562339"
"JF732739","ostrich_Suzhou_097_2003","China","H5N1","2003.288","JF732738"
"CY144507","ruddy_turnstone_Delaware_AI03_371_2003","USA","H5N2","2003.392","CY144509"
"EF541407","chicken_Viet_Nam_Ncvd8_2003","Vietnam","H5N1","2003.581","EF541468"
"GU183447","chicken_East_Java_BL_IP2003","Indonesia","H5N1","2003.786","GU183466"
"GQ122384","chicken_West_Java_UT1001_2003","Indonesia","H5N1","2003.800","GQ122427"
"GQ122385","chicken_East_Java_UT1006_2003","Indonesia","H5N1","2003.871","GQ122433"
"GU183448","chicken_West_Java_1074_2003","Indonesia","H5N1","2003.871","GU183467"
"EPI120183","shoveler_Egypt_20313_NAMRU3_2003","Egypt","H5N2","2003.953","EPI120183"
"EF473080","chicken_Indonesia_7_2003","Indonesia","H5N1","2003.967","EF473082"
"HM114449","Vietnam_UT3028_2003","Vietnam","H5N1","2003.989","HM114451"
"HM114457","Vietnam_UT3028II_2003","Vietnam","H5N1","2003.992","HM114459"
"HM114465","Vietnam_UT3030_2003","Vietnam","H5N1","2003.992","HM114467"
"HM627945","openbill_stork_Thailand_VSMU_12_BKK_2003","Thailand","H5N1","2003.995","HM627947"
"HM114473","Vietnam_UT3035_2003","Vietnam","H5N1","2003.997","HM114475"
"HM114481","Vietnam_UT3040_2004","Vietnam","H5N1","2004.014","HM114483"
"HM114490","Vietnam_UT3040II_2004","Vietnam","H5N1","2004.016","HM114488"
"GQ122386","quail_Yogjakarta_UT1023_2004","Indonesia","H5N1","2004.038","GQ122439"
"EF473070","goose_Cambodia_28_2004","Cambodia","H5N1","2004.041","EF473071"
"HM114505","Vietnam_UT3062_2004","Vietnam","H5N1","2004.041","HM114507"
"HM114497","Vietnam_UT3047III_2004","Vietnam","H5N1","2004.052","HM114499"
"EF670479","duck_Hunan_15_2004","China","H5N1","2004.074","EF670480"
"EF670482","chicken_Hubei_14_2004","China","H5N1","2004.074","EF670483"
"HM627913","openbill_stork_Thailand_VSMU_4_NSN_2004","Thailand","H5N1","2004.096","HM627915"
"HM627921","openbill_stork_Thailand_VSMU_5_NSN_2004","Thailand","H5N1","2004.096","HM627923"
"HM627937","openbill_stork_Thailand_VSMU_8_BKK_2004","Thailand","H5N1","2004.115","HM627939"
"HM627929","openbill_stork_Thailand_VSMU_6_BKK_2004","Thailand","H5N1","2004.117","HM627931"
"GQ122387","chicken_East_Kalimantan_UT1035_2004","Indonesia","H5N1","2004.126","GQ122445"
"GQ122388","duck_East_Java_UT1046_2004","Indonesia","H5N1","2004.194","GQ122451"
"CY005927","shorebird_DE_101_2004","USA","H5N7","2004.374","CY004400"
"CY005969","shorebird_DE_75_2004","USA","H5N7","2004.374","CY004978"
"CY144579","ruddy_turnstone_New_Jersey_1148676_2004","USA","H5N7","2004.374","CY144581"
"GQ122389","quail_Yogjakarta_UT1075_2004","Indonesia","H5N1","2004.396","GQ122457"
"KR987707","chicken_Denpasar_02_2004","Indonesia","H5N1","2004.495","KR987720"
"HM114513","Vietnam_UT30259_2004","Vietnam","H5N1","2004.568","HM114515"
"HM114521","Vietnam_HN30262IIIM3_2004","Vietnam","H5N1","2004.590","HM114523"
"EF456795","Viet_Nam_JP178_2004","Vietnam","H5N1","2004.620","EF456796"
"FJ519983","ostrich_South_Africa_N227_2004","South_Africa","H5N2","2004.620","FJ519985"
"KC684446","chicken_Malaysia_5744_2004","Malaysia","H5N1","2004.626","KC684447"
"GQ122390","duck_East_Java_UT1107_2004","Indonesia","H5N1","2004.648","GQ122463"
"GU183449","Muscovy_duck_Jakarta_DKI_Uwit_2004","Indonesia","H5N1","2004.787","GU183468"
"GU183450","chicken_Banten_Pdgl_Kas_2004","Indonesia","H5N1","2004.787","GU183470"
"GU351859","duck_Korea_GJ54_2004","South_Korea","H5N2","2004.978","GU351860"
"JQ990145","parrot_Guangdong_258_2004","China","H5N2","2004.992","JQ990146"
"GQ184330","mallard_Xuyi_10_2005","China","H5N2","2005.038","GQ184334"
"GU183452","Muscovy_duck_West_Java_Bgr_Cw_2005","Indonesia","H5N1","2005.038","GU183485"
"EF566199","chicken_Vietnam_NCVD10_2005","Vietnam","H5N1","2005.063","CY094817"
"JX013485","parrot_Guangdong_C99_2005","China","H5N1","2005.085","JX013486"
"CY036751","environment_New_York_11653_1_2005","USA","H5N2","2005.088","CY036753"
"HQ664946","chicken_Cambodia_022LC2b_2005","Cambodia","H5N1","2005.104","EF473077"
"HQ200540","chicken_Cambodia_022LC1b_2005","Cambodia","H5N1","2005.107","HQ200541"
"GQ184328","spotbill_duck_Xuyi_18_2005","China","H5N2","2005.123","GQ184331"
"GU189678","chicken_West_Java_Smi_Hay_2005","Indonesia","H5N1","2005.123","GU183471"
"HM114529","Vietnam_UT30408III_2005","Vietnam","H5N1","2005.156","HM114531"
"GU183451","chicken_Jakarta_DKI31_2005","Indonesia","H5N1","2005.200","GU183469"
"HQ200458","Cambodia_P0322095_2005","Cambodia","H5N1","2005.219","HQ200459"
"HQ200554","chicken_Cambodia_047LC3b_2005","Cambodia","H5N1","2005.225","HQ200555"
"HQ200562","chicken_Cambodia_047LC4_2005","Cambodia","H5N1","2005.225","HQ200563"
"KP233704","duck_Hunan_316_2005","China","H5N1","2005.301","KP233706"
"EF566215","duck_Vietnam_367_2005","Vietnam","H5N1","2005.348","CY034224"
"FJ390028","chicken_Astana_6_2005","Kazakhstan","H5N1","2005.452","FJ390029"
"EPI70397","duck_Vietnam_TG24_05","Vietnam","H5N1","2005.485","EPI70397"
"AB233319","bar_headed_goose_Mongolia_1_05","Mongolia","H5N1","2005.534","AB239304"
"AB233320","whooper_swan_Mongolia_3_05","Mongolia","H5N1","2005.534","AB239311"
"CY047552","mallard_Quebec_16334_2005","Canada","H5N3","2005.630","CY047554"
