"accession_no","sequence_name","gene","sublineage","state","analyses"
"AB435522","chicken_Laos_1_2008","HA","2.3.4","SEA","Geo"
"AB474082","chicken_Hmawbi_517_2007","HA","2.3.4","SEA","Geo"
"AB478026","village_chicken_Kyaing_Tong_2433_2007","HA","2.3.4","SEA","Geo"
"AB521159","peregrine_falcon_Hong_Kong_810_2009","HA","2.3.4","CN","Geo"
"AB593447","duck_Vietnam_G12_2008","HA","2.3.4","SEA","Geo"
"AB932556","chicken_kumamoto_1_7_2014","HA","2.3.4","NA","Geo"
"AB979455","muscovy_duck_Vietnam_LBM631_2014","HA","2.3.4","SEA","Geo"
"CY029695","Muscovy_duck_Vietnam_48_2007","HA","2.3.4","SEA","Geo"
"CY029711","duck_Vietnam_50_2007","HA","2.3.4","SEA","Geo"
"CY029759","Muscovy_duck_Vietnam_56_2007","HA","2.3.4","SEA","Geo"
"CY029775","chicken_Malaysia_5223_2007","HA","2.3.4","SEA","Geo"
"CY030383","chicken_Vietnam_NCVD_20_2007","HA","2.3.4","SEA","Geo"
"CY030538","chicken_Vietnam_NCVD_45_2007","HA","2.3.4","SEA","Geo"
"CY030881","duck_Yunnan_4873_2006","HA","2.3.4","CN","Geo"
"CY030889","duck_Yunnan_5310_2006","HA","2.3.4","CN","Geo"
"CY030897","duck_Yunnan_6490_2006","HA","2.3.4","CN","Geo"
"CY030937","goose_Yunnan_5141_2006","HA","2.3.4","CN","Geo"
"CY030977","goose_Yunnan_6193_2006","HA","2.3.4","CN","Geo"
"CY034688","chicken_Laos_P0020_2007","HA","2.3.4","SEA","Geo"
"CY034704","duck_Laos_P0106_2007","HA","2.3.4","SEA","Geo"
"CY036053","scaly_breasted_munia_Hong_Kong_45_2007","HA","2.3.4","CN","Geo"
"CY036061","crested_goshawk_Hong_Kong_458_2007","HA","2.3.4","CN","Geo"
"CY036133","scaly_breasted_munia_Hong_Kong_2433_2007","HA","2.3.4","CN","Geo"
"CY036157","long_tailed_shrike_Hong_Kong_2762_2007","HA","2.3.4","CN","Geo"
"CY036269","peregrine_falcon_Hong_Kong_2142_2008","HA","2.3.4","CN","Geo"
"CY040926","duck_Laos_P0161_2007","HA","2.3.4","SEA","Geo"
"CY040958","duck_Laos_A0617_2007","HA","2.3.4","SEA","Geo"
"CY041038","duck_Laos_25_2006","HA","2.3.4","SEA","Geo"
"CY041043","duck_Laos_22_2006","HA","2.3.4","SEA","Geo"
"CY091635","duck_Guangdong_wy19_2008","HA","2.3.4","CN","Geo"
"CY091643","duck_Guangdong_wy24_2008","HA","2.3.4","CN","Geo"
"CY095686","chicken_Viet_Nam_TMU007_2008","HA","2.3.4","SEA","Geo"
"CY095692","duck_Viet_Nam_TMU017_2009","HA","2.3.4","SEA","Geo"
"CY095704","duck_Viet_Nam_TMU026_2009","HA","2.3.4","SEA","Geo"
"CY098317","duck_Lao_7_2010","HA","2.3.4","SEA","Geo"
"CY098331","duck_Lao_19_2010","HA","2.3.4","SEA","Geo"
"CY098358","duck_Lao_567_2010","HA","2.3.4","SEA","Geo"
"CY098648","Sichuan_3_2006","HA","2.3.4","CN","Geo"
"CY098668","Anhui_1_2006","HA","2.3.4","CN","Geo"
"CY098688","Hunan_1_2008","HA","2.3.4","CN","Geo"
"CY098695","Guangxi_1_2008","HA","2.3.4","CN","Geo"
"CY098702","Guangdong_1_2008","HA","2.3.4","CN","Geo"
"CY098709","Beijing_1_2009","HA","2.3.4","CN","Geo"
"CY098716","Shandong_1_2009","HA","2.3.4","CN","Geo"
"CY098723","Hunan_1_2009","HA","2.3.4","CN","Geo"
"CY098730","Xinjiang_1_2009","HA","2.3.4","CN","Geo"
"CY098737","Guizhou_1_2009","HA","2.3.4","CN","Geo"
"CY098751","Hunan_2_2009","HA","2.3.4","CN","Geo"
"CY098798","environment_Guizhou_2_2009","HA","2.3.4","CN","Geo"
"CY098806","environment_Guizhou_4_2009","HA","2.3.4","CN","Geo"
"CY099961","chicken_Viet_Nam_TMU006_2008","HA","2.3.4","SEA","Geo"
"CY099963","quail_Viet_Nam_TMU010_2008","HA","2.3.4","SEA","Geo"
"CY099966","chicken_Viet_Nam_TMU013_2008","HA","2.3.4","SEA","Geo"
"CY099969","chicken_Viet_Nam_TMU016_2008","HA","2.3.4","SEA","Geo"
"CY099971","duck_Viet_Nam_TMU019_2009","HA","2.3.4","SEA","Geo"
"CY099972","duck_Viet_Nam_TMU020_2009","HA","2.3.4","SEA","Geo"
"DQ095629","Duck_Fujian_1734_05","HA","2.3.4","CN","Geo"
"DQ371928","Anhui_1_2005","HA","2.3.4","CN","Geo"
"DQ371930","Guangxi_1_2005","HA","2.3.4","CN","Geo"
"DQ520855","chicken_Zhejiang_24_2005","HA","2.3.4","CN","Geo"
"DQ835313","China_GD01_2006","HA","2.3.4","CN","Geo"
"DQ842487","goose_Guangzhou_471_2006","HA","2.3.4","CN","Geo"
"DQ845348","duck_Laos_3295_2006","HA","2.3.4","SEA","Geo"
"DQ992730","duck_Guangxi_4428_2005","HA","2.3.4","CN","Geo"
"DQ992731","goose_Guangxi_4513_2005","HA","2.3.4","CN","Geo"
"DQ992735","duck_Guangxi_5075_2005","HA","2.3.4","CN","Geo"
"DQ992738","goose_Guangxi_5414_2005","HA","2.3.4","CN","Geo"
"DQ992739","duck_Guangxi_5457_2005","HA","2.3.4","CN","Geo"
"DQ992742","duck_Guangxi_150_2006","HA","2.3.4","CN","Geo"
"DQ992743","goose_Guangxi_224_2006","HA","2.3.4","CN","Geo"
"DQ992745","chicken_Guangxi_463_2006","HA","2.3.4","CN","Geo"
"DQ992748","duck_Guangxi_619_2006","HA","2.3.4","CN","Geo"
"DQ992749","duck_Guangxi_744_2006","HA","2.3.4","CN","Geo"
"DQ992750","duck_Guangxi_804_2006","HA","2.3.4","CN","Geo"
"DQ992755","chicken_Guiyang_3055_2005","HA","2.3.4","CN","Geo"
"DQ992762","chicken_Guiyang_4059_2005","HA","2.3.4","CN","Geo"
"DQ992763","chicken_Guiyang_29_2006","HA","2.3.4","CN","Geo"
